Paper_ID,Included,Observation_ID ,Author,Year,Title,Journal,DOI,URL,Language,Database,Latitude,Longitude,Country,Taxa_level,Taxa_name,Order,Family,Genus ,Binomial,Life_history_stage,Experimental_year_start,Experimental_year_end,Sampling_method,Sampling_intensity_unit,Sampling_intensity,Biodiversity_metric,Unit,IUCN_threat_category_1,IUCN_threat_category_2,IUCN_threat_category_3,Treatment,Treatment_quantity,Treatment_quantity_unit,Control,Control_quantity,Control_quantity_unit,Extracted_from,Evidence_type,Treatment_N,Treatment_mean,Treatment_error,Treatment_error_type,Control_N,Control_mean,Control_error,Control_error_type,Contributor_name,Search_date,Notes
Montejo_2022,Y,Montejo_2022_1,"Montejo-Kovacevich, Gabriela and Marsh, Charles J. and Smith, Sophie H. and Peres, Carlos A. and Edwards, David P.",2022,Riparian reserves protect butterfly communities in selectively logged tropical forest,JOURNAL OF APPLIED ECOLOGY,10.1111/1365-2664.14162,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127438424&doi=10.1111%2f1365-2664.14162&partnerID=40&md5=ed6cd0dc85f761d6e16c2d5d2ab2dffb,English,,-9.381667,-62.981389,Brazil,Order,Lepidoptera,Lepidoptera,,,,,2016,2016,,,,Richness,,5 Biological resource use,5.3 Logging & wood harvesting,,interior logged,,%,interior primary,0,%,Fig2,Experimental,8,23.85,9.17,Standard deviation,8,14.35,3.14,Standard deviation,,,assess the effectiveness of riparian reserves in protecting primary forest species within selectively logged forest
Montejo_2022,Y,Montejo_2022_2,,2022,Riparian reserves protect butterfly communities in selectively logged tropical forest,JOURNAL OF APPLIED ECOLOGY,10.1111/1365-2664.14162,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127438424&doi=10.1111%2f1365-2664.14162&partnerID=40&md5=ed6cd0dc85f761d6e16c2d5d2ab2dffb,English,,-9.381667,-62.981389,Brazil,Order,Lepidoptera,Lepidoptera,,,,,2016,2016,,,,Richness,,5 Biological resource use,5.3 Logging & wood harvesting,,riparian reserve logged,,%,riparian primary,0,%,Fig2,Experimental,8,20.77,9.43,Standard deviation,8,16.67,3.93,Standard deviation,,,
Montejo_2022,Y,Montejo_2022_3,,2022,Riparian reserves protect butterfly communities in selectively logged tropical forest,JOURNAL OF APPLIED ECOLOGY,10.1111/1365-2664.14162,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127438424&doi=10.1111%2f1365-2664.14162&partnerID=40&md5=ed6cd0dc85f761d6e16c2d5d2ab2dffb,English,,-9.381667,-62.981389,Brazil,Order,Lepidoptera,Lepidoptera,,,,,2016,2016,,,,Abundance,,5 Biological resource use,5.3 Logging & wood harvesting,,interior logged,,%,interior primary,0,%,Fig2,Experimental,8,45.17,17.81,Standard deviation,8,25.86,7.07,Standard deviation,,,
Montejo_2022,Y,Montejo_2022_4,,2022,Riparian reserves protect butterfly communities in selectively logged tropical forest,JOURNAL OF APPLIED ECOLOGY,10.1111/1365-2664.14162,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127438424&doi=10.1111%2f1365-2664.14162&partnerID=40&md5=ed6cd0dc85f761d6e16c2d5d2ab2dffb,English,,-9.381667,-62.981389,Brazil,Order,Lepidoptera,Lepidoptera,,,,,2016,2016,,,,Abundance,,5 Biological resource use,5.3 Logging & wood harvesting,,riparian reserve logged,,%,riparian primary,0,%,Fig2,Experimental,8,43.1,14.93,Standard deviation,8,28.62,4.71,Standard deviation,,,
Bui_2022,Y,Bui_2022_1,"Bui, Van Bac and Tran, Dung Van and Bui, The Doi and Le, Bao Thanh and Bai, Ming",2022,Changes in taxonomic and functional diversity of dung beetles along a forest disturbance gradient in tropical karst ecosystems on islands of Vietnam,ECOLOGICAL RESEARCH,10.1111/1440-1703.12308,NA,English,,20.808334,106.958334,Vietnam,Order,Coleoptera,Coleoptera,,,,,2020,2021,,,,Richness,Margalef richness index(DMg),5 Biological resource use,5.3 Logging & wood harvesting,,old secondary forests(OSF),,%,primary forest(PF),0,%,Fig2,Experimental,6,11.34,0.62,Standard error,6,11.03,0.69,Standard error,,,
Bui_2022,Y,Bui_2022_2,,2022,Changes in taxonomic and functional diversity of dung beetles along a forest disturbance gradient in tropical karst ecosystems on islands of Vietnam,ECOLOGICAL RESEARCH,10.1111/1440-1703.12308,NA,English,,20.808334,106.958334,Vietnam,Order,Coleoptera,Coleoptera,,,,,2020,2021,,,,Richness,Margalef richness index(DMg),5 Biological resource use,5.3 Logging & wood harvesting,,young secondary forests (YSF),,%,primary forest(PF),0,%,Fig2,Experimental,6,8.26,0.69,Standard error,6,11.03,0.69,Standard error,,,
Bui_2022,Y,Bui_2022_3,,2022,Changes in taxonomic and functional diversity of dung beetles along a forest disturbance gradient in tropical karst ecosystems on islands of Vietnam,ECOLOGICAL RESEARCH,10.1111/1440-1703.12308,NA,English,,20.808334,106.958334,Vietnam,Order,Coleoptera,Coleoptera,,,,,2020,2021,,,,Richness,Margalef richness index(DMg),5 Biological resource use,5.3 Logging & wood harvesting,,Acacia plantations(AP),,%,primary forest(PF),0,%,Fig2,Experimental,6,6.48,0.54,Standard error,6,11.03,0.69,Standard error,,,
Bui_2022,Y,Bui_2022_4,,2022,Changes in taxonomic and functional diversity of dung beetles along a forest disturbance gradient in tropical karst ecosystems on islands of Vietnam,ECOLOGICAL RESEARCH,10.1111/1440-1703.12308,NA,English,,20.808334,106.958334,Vietnam,Order,Coleoptera,Coleoptera,,,,,2020,2021,,,,Diversity,Shannon-Wiener diversity,5 Biological resource use,5.3 Logging & wood harvesting,,old secondary forests(OSF),,%,primary forest(PF),0,%,Fig2,Experimental,6,2.36,0.06,Standard error,6,2.31,0.1,Standard error,,,
Bui_2022,Y,Bui_2022_5,,2022,Changes in taxonomic and functional diversity of dung beetles along a forest disturbance gradient in tropical karst ecosystems on islands of Vietnam,ECOLOGICAL RESEARCH,10.1111/1440-1703.12308,NA,English,,20.808334,106.958334,Vietnam,Order,Coleoptera,Coleoptera,,,,,2020,2021,,,,Diversity,Shannon-Wiener diversity,5 Biological resource use,5.3 Logging & wood harvesting,,young secondary forests (YSF),,%,primary forest(PF),0,%,Fig2,Experimental,6,1.99,0.1,Standard error,6,2.31,0.1,Standard error,,,
Bui_2022,Y,Bui_2022_6,,2022,Changes in taxonomic and functional diversity of dung beetles along a forest disturbance gradient in tropical karst ecosystems on islands of Vietnam,ECOLOGICAL RESEARCH,10.1111/1440-1703.12308,NA,English,,20.808334,106.958334,Vietnam,Order,Coleoptera,Coleoptera,,,,,2020,2021,,,,Diversity,Shannon-Wiener diversity,5 Biological resource use,5.3 Logging & wood harvesting,,Acacia plantations(AP),,%,primary forest(PF),0,%,Fig2,Experimental,6,1.83,0.06,Standard error,6,2.31,0.1,Standard error,,,
Bui_2022,Y,Bui_2022_7,,2022,Changes in taxonomic and functional diversity of dung beetles along a forest disturbance gradient in tropical karst ecosystems on islands of Vietnam,ECOLOGICAL RESEARCH,10.1111/1440-1703.12308,NA,English,,20.808334,106.958334,Vietnam,Order,Coleoptera,Coleoptera,,,,,2020,2021,,,,Abundance,Number of individuals per trap,5 Biological resource use,5.3 Logging & wood harvesting,,old secondary forests(OSF),,%,primary forest(PF),0,%,Fig2,Experimental,6,26.75,2.1,Standard error,6,21.21,1.91,Standard error,,,
Bui_2022,Y,Bui_2022_8,,2022,Changes in taxonomic and functional diversity of dung beetles along a forest disturbance gradient in tropical karst ecosystems on islands of Vietnam,ECOLOGICAL RESEARCH,10.1111/1440-1703.12308,NA,English,,20.808334,106.958334,Vietnam,Order,Coleoptera,Coleoptera,,,,,2020,2021,,,,Abundance,Number of individuals per trap,5 Biological resource use,5.3 Logging & wood harvesting,,young secondary forests (YSF),,%,primary forest(PF),0,%,Fig2,Experimental,6,16.82,2.29,Standard error,6,21.21,1.91,Standard error,,,
Bui_2022,Y,Bui_2022_9,,2022,Changes in taxonomic and functional diversity of dung beetles along a forest disturbance gradient in tropical karst ecosystems on islands of Vietnam,ECOLOGICAL RESEARCH,10.1111/1440-1703.12308,NA,English,,20.808334,106.958334,Vietnam,Order,Coleoptera,Coleoptera,,,,,2020,2021,,,,Abundance,Number of individuals per trap,5 Biological resource use,5.3 Logging & wood harvesting,,Acacia plantations(AP),,%,primary forest(PF),0,%,Fig2,Experimental,6,8.6,0.76,Standard error,6,21.21,1.91,Standard error,,,
