Paper_ID,Observation_ID,Author,Year,Title,Journal,DOI,URL,Language,Database,Latitude,Longitude,Country,Taxa_level,Taxa_name,Order,Family,Genus,Binomial,Life_history_stage,Experimental_year_start,Experimental_year_end,Biodiversity_metric,Unit,IUCN_threat_category_1,IUCN_threat_category_2,IUCN_threat_category_3,Treatment,Treatment_quantity,Treatment_quantity_unit,Control,Control_quantity,Control_quantity_unit,Extracted_from,Evidence_type,Effect_size,Effect_size_type,Sample_variance,Sample_variance_type,Aggregated,Contributor_name,Search_date,Notes
Abbate_2019,Abbate_2019_1,Abbate et al.,2019,Urban development decreases bee abundance and diversity within coastal dune systems,NA,10.1016/j.gecco.2019.e00711,NA,NA,NA,27.665,-81.516,USA,NA,NA,Hymenoptera,Halictidae,NA,Agapostemon splendens,NA,NA,NA,Abundance,NA,1 Residential & commercial development,1.1 Housing & urban areas,NA,Urban,NA,NA,Natural,NA,NA,NA,NA,-0.502,Hedge's D,0.036,Hedge's D,NA,Joe,NA,NA
Abbate_2019,Abbate_2019_2,Abbate et al.,2019,Urban development decreases bee abundance and diversity within coastal dune systems,NA,10.1016/j.gecco.2019.e00711,NA,NA,NA,27.665,-81.516,USA,NA,NA,Hymenoptera,Halictidae,NA,Augochlorella gratiosa,NA,NA,NA,Abundance,NA,1 Residential & commercial development,1.1 Housing & urban areas,NA,Urban,NA,NA,Natural,NA,NA,NA,NA,-0.283,Hedge's D,0.035,Hedge's D,NA,Joe,NA,NA
Abbate_2019,Abbate_2019_3,Abbate et al.,2019,Urban development decreases bee abundance and diversity within coastal dune systems,NA,10.1016/j.gecco.2019.e00711,NA,NA,NA,27.665,-81.516,USA,NA,NA,Hymenoptera,Halictidae,NA,Augochloropsis anonyma,NA,NA,NA,Abundance,NA,1 Residential & commercial development,1.1 Housing & urban areas,NA,Urban,NA,NA,Natural,NA,NA,NA,NA,-0.285,Hedge's D,0.035,Hedge's D,NA,Joe,NA,NA
Abbate_2019,Abbate_2019_4,Abbate et al.,2019,Urban development decreases bee abundance and diversity within coastal dune systems,NA,10.1016/j.gecco.2019.e00711,NA,NA,NA,27.665,-81.516,USA,NA,NA,Hymenoptera,Apidae,NA,Ceratina cockerelli,NA,NA,NA,Abundance,NA,1 Residential & commercial development,1.1 Housing & urban areas,NA,Urban,NA,NA,Natural,NA,NA,NA,NA,-0.099,Hedge's D,0.035,Hedge's D,NA,Joe,NA,NA
Abbate_2019,Abbate_2019_5,Abbate et al.,2019,Urban development decreases bee abundance and diversity within coastal dune systems,NA,10.1016/j.gecco.2019.e00711,NA,NA,NA,27.665,-81.516,USA,NA,NA,Hymenoptera,Apidae,NA,Ceratina floridana,NA,NA,NA,Abundance,NA,1 Residential & commercial development,1.1 Housing & urban areas,NA,Urban,NA,NA,Natural,NA,NA,NA,NA,-0.615,Hedge's D,0.036,Hedge's D,NA,Joe,NA,NA
Abbate_2019,Abbate_2019_6,Abbate et al.,2019,Urban development decreases bee abundance and diversity within coastal dune systems,NA,10.1016/j.gecco.2019.e00711,NA,NA,NA,27.665,-81.516,USA,NA,NA,Hymenoptera,Halictidae,NA,Halictus poeyi,NA,NA,NA,Abundance,NA,1 Residential & commercial development,1.1 Housing & urban areas,NA,Urban,NA,NA,Natural,NA,NA,NA,NA,0.259,Hedge's D,0.035,Hedge's D,NA,Joe,NA,NA
Abbate_2019,Abbate_2019_7,Abbate et al.,2019,Urban development decreases bee abundance and diversity within coastal dune systems,NA,10.1016/j.gecco.2019.e00711,NA,NA,NA,27.665,-81.516,USA,NA,NA,Hymenoptera,Halictidae,NA,Lasioglossum halophitum,NA,NA,NA,Abundance,NA,1 Residential & commercial development,1.1 Housing & urban areas,NA,Urban,NA,NA,Natural,NA,NA,NA,NA,-0.27,Hedge's D,0.035,Hedge's D,NA,Joe,NA,NA
Abbate_2019,Abbate_2019_8,Abbate et al.,2019,Urban development decreases bee abundance and diversity within coastal dune systems,NA,10.1016/j.gecco.2019.e00711,NA,NA,NA,27.665,-81.516,USA,NA,NA,Hymenoptera,Halictidae,NA,Lasioglossum lepidii_putuelanum,NA,NA,NA,Abundance,NA,1 Residential & commercial development,1.1 Housing & urban areas,NA,Urban,NA,NA,Natural,NA,NA,NA,NA,-0.12,Hedge's D,0.035,Hedge's D,NA,Joe,NA,NA
Abbate_2019,Abbate_2019_9,Abbate et al.,2019,Urban development decreases bee abundance and diversity within coastal dune systems,NA,10.1016/j.gecco.2019.e00711,NA,NA,NA,27.665,-81.516,USA,NA,NA,Hymenoptera,Halictidae,NA,Lasioglossum marinum,NA,NA,NA,Abundance,NA,1 Residential & commercial development,1.1 Housing & urban areas,NA,Urban,NA,NA,Natural,NA,NA,NA,NA,-0.392,Hedge's D,0.036,Hedge's D,NA,Joe,NA,NA
Abbate_2019,Abbate_2019_10,Abbate et al.,2019,Urban development decreases bee abundance and diversity within coastal dune systems,NA,10.1016/j.gecco.2019.e00711,NA,NA,NA,27.665,-81.516,USA,NA,NA,Hymenoptera,Halictidae,NA,Lasioglossum nymphale,NA,NA,NA,Abundance,NA,1 Residential & commercial development,1.1 Housing & urban areas,NA,Urban,NA,NA,Natural,NA,NA,NA,NA,-0.424,Hedge's D,0.036,Hedge's D,NA,Joe,NA,NA
