Paper_ID,Included,Observation_ID ,Author,Year,Title,Journal,DOI,URL,Language,Database,Latitude,Longitude,Country,Taxa_level,Taxa_name,Order,Family,Genus ,Binomial,Life_history_stage,Experimental_year_start,Experimental_year_end,Sampling_method,Sampling_intensity_unit,Sampling_intensity,Biodiversity_metric,Unit,IUCN_threat_category_1,IUCN_threat_category_2,IUCN_threat_category_3,Treatment,Treatment_quantity,Treatment_quantity_unit,Control,Control_quantity,Control_quantity_unit,Extracted_from,Evidence_type,Treatment_N,Treatment_mean,Treatment_error,Treatment_error_type,Control_N,Control_mean,Control_error,Control_error_type,Contributor_name,Search_date,Notes
Lu_2012,Y,Lu_2012_1,"Lu, Ming-Xing and Liu, Zhong-Xian and Wang, Xun and Du, Yu-Zhou",2012,Seasonal cold tolerance of Chilo suppressalis (Lepidoptera: Pyralidae),Annals of the Entomological Society of America,10.1603/AN11171,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861035236&doi=10.1603%2fAN11171&partnerID=40&md5=cf5f9b4613e32ff9499ae9818e2c8387,English,Scopus,32.4,119.4,China,species,Chilo suppressalis,Lepidoptera,Pyralidae,Chilo,Chilo suppressalis,L5,,,,,,Survival,percentage,11 Climate change & severe weather,11.3 Temperature extremes,,Extreme cold,-14,C,No extreme cold,26,C,,,90,5.5,3,se,90,100,0,se,Emily Wenban-Smith,,3
Bemani_2012,Y,Bemani_2012_1,"Bemani, Marjan and Izadi, Hamzeh and Mahdian, Kamran and Khani, Abbas and Amin samih, Mohammad",2012,"Study on the physiology of diapause, cold hardiness and supercooling point of overwintering pupae of the pistachio fruit hull borer, Arimania comaroffi",Journal of Insect Physiology,10.1016/j.jinsphys.2012.04.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862835966&doi=10.1016%2fj.jinsphys.2012.04.003&partnerID=40&md5=677bac83364a81aa6e18f127d978b624,English,Scopus,35.4,52.1,Iran,species,Arimania komaroffi ,Lepidoptera,Pyralidae,Arimania,Arimania komaroffi ,pupa,,,,,,Survival,percentage,11 Climate change & severe weather,11.3 Temperature extremes,,Extreme cold,-10,C,No extreme cold,25,C,,,25,71.5,4.53,se,25,100,0,se,Emily Wenban-Smith,,
Bemani_2012,Y,Bemani_2012_2,"Bemani, Marjan and Izadi, Hamzeh and Mahdian, Kamran and Khani, Abbas and Amin samih, Mohammad",2012,"Study on the physiology of diapause, cold hardiness and supercooling point of overwintering pupae of the pistachio fruit hull borer, Arimania comaroffi",Journal of Insect Physiology,10.1016/j.jinsphys.2012.04.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862835966&doi=10.1016%2fj.jinsphys.2012.04.003&partnerID=40&md5=677bac83364a81aa6e18f127d978b624,English,Scopus,35.4,52.1,Iran,species,Arimania komaroffi ,Lepidoptera,Pyralidae,Arimania,Arimania komaroffi ,pupa,,,,,,Survival,percentage,11 Climate change & severe weather,11.3 Temperature extremes,,Extreme cold,15,C,No extreme cold,25,C,,,25,38.7,2.81,se,25,100,0,se,Emily Wenban-Smith,,
Khani_2007,Y,Khani_2007_3,"Khani, Abbas and Moharramipour, Saeid and Barzegar, Mohsen",2007,"Cold tolerance and trehalose accumulation in overwintering larvae of the codling moth, <i>Cydia pomonella</i> (Lepidoptera: Tortricidae)",EUROPEAN JOURNAL OF ENTOMOLOGY,10.14411/eje.2007.057,NA,English,WOS,35.4,52.1,Iran,species,Cydia pomonella,Lepidoptera,Tortricidae,Cydia,Cydia pomonella,larva,,,,,,Survival,percentage,11 Climate change & severe weather,11.3 Temperature extremes,,Extreme cold,-15,C,No extreme cold,20,C,,,30,90.18571429,1.514285714,se,30,100,0,se,Emily Wenban-Smith,,
Khani_2007,Y,Khani_2007_4,"Khani, Abbas and Moharramipour, Saeid and Barzegar, Mohsen",2007,"Cold tolerance and trehalose accumulation in overwintering larvae of the codling moth, <i>Cydia pomonella</i> (Lepidoptera: Tortricidae)",EUROPEAN JOURNAL OF ENTOMOLOGY,10.14411/eje.2007.057,NA,English,WOS,35.4,52.1,Iran,species,Cydia pomonella,Lepidoptera,Tortricidae,Cydia,Cydia pomonella,larva,,,,,,Survival,percentage,11 Climate change & severe weather,11.3 Temperature extremes,,Extreme cold,-20,C,No extreme cold,20,C,,,30,39,3.4,se,30,100,0,se,Emily Wenban-Smith,,
Bemani_2012,Y,Bemani_2012_3,"Bemani, Marjan and Izadi, Hamzeh and Mahdian, Kamran and Khani, Abbas and Amin samih, Mohammad",2012,"Study on the physiology of diapause, cold hardiness and supercooling point of overwintering pupae of the pistachio fruit hull borer, Arimania comaroffi",Journal of Insect Physiology,10.1016/j.jinsphys.2012.04.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862835966&doi=10.1016%2fj.jinsphys.2012.04.003&partnerID=40&md5=677bac83364a81aa6e18f127d978b624,English,Scopus,35.4,52.1,Iran,species,Arimania komaroffi ,Lepidoptera,Pyralidae,Arimania,Arimania komaroffi ,pupa,,,,,,Survival,percentage,11 Climate change & severe weather,11.3 Temperature extremes,,Extreme cold,-10,C,No extreme cold,25,C,,,25,7.5,3.81,se,25,100,0,se,Emily Wenban-Smith,,
Bemani_2012,Y,Bemani_2012_4,"Bemani, Marjan and Izadi, Hamzeh and Mahdian, Kamran and Khani, Abbas and Amin samih, Mohammad",2012,"Study on the physiology of diapause, cold hardiness and supercooling point of overwintering pupae of the pistachio fruit hull borer, Arimania comaroffi",Journal of Insect Physiology,10.1016/j.jinsphys.2012.04.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862835966&doi=10.1016%2fj.jinsphys.2012.04.003&partnerID=40&md5=677bac83364a81aa6e18f127d978b624,English,Scopus,35.4,52.1,Iran,species,Arimania komaroffi ,Lepidoptera,Pyralidae,Arimania,Arimania komaroffi ,pupa,,,,,,Survival,percentage,11 Climate change & severe weather,11.3 Temperature extremes,,Extreme cold,15,C,No extreme cold,25,C,,,25,0,0,se,25,100,0,se,Emily Wenban-Smith,,
Khani_2007,Y,Khani_2007_1,"Khani, Abbas and Moharramipour, Saeid and Barzegar, Mohsen",2007,"Cold tolerance and trehalose accumulation in overwintering larvae of the codling moth, <i>Cydia pomonella</i> (Lepidoptera: Tortricidae)",EUROPEAN JOURNAL OF ENTOMOLOGY,10.14411/eje.2007.057,NA,English,WOS,35.4,52.1,Iran,species,Cydia pomonella,Lepidoptera,Tortricidae,Cydia,Cydia pomonella,larva,,,,,,Survival,percentage,11 Climate change & severe weather,11.3 Temperature extremes,,Extreme cold,-15,C,No extreme cold,20,C,,,30,8,6.7,se,30,100,0,se,Emily Wenban-Smith,,
Khani_2007,Y,Khani_2007_2,"Khani, Abbas and Moharramipour, Saeid and Barzegar, Mohsen",2007,"Cold tolerance and trehalose accumulation in overwintering larvae of the codling moth, <i>Cydia pomonella</i> (Lepidoptera: Tortricidae)",EUROPEAN JOURNAL OF ENTOMOLOGY,10.14411/eje.2007.057,NA,English,WOS,35.4,52.1,Iran,species,Cydia pomonella,Lepidoptera,Tortricidae,Cydia,Cydia pomonella,larva,,,,,,Survival,percentage,11 Climate change & severe weather,11.3 Temperature extremes,,Extreme cold,-20,C,No extreme cold,20,C,,,30,0,0,se,30,100,0,se,Emily Wenban-Smith,,
Hayes_2024,Y,Hayes_2024_1,"Matthew P. Hayes, Esme Ashe-Jepson, Gwen E. Hitchcock, Ryan Clark, Josh Hellon, Richard I. Knock, Andrew J. Bladon & Edgar C. Turner ",2024,"Heatwave predicts a shady future for insects: impacts of an extreme weather event on a chalk grassland in Bedfordshire, UK",Journal of Insect Conservation,10.1007/s10841-024-00556-5.,NA,English,Other,52,-0.4,UK,order,Lepidoptera,Lepidoptera,,,,adult,,,,,,Abundance,count,11 Climate change & severe weather,11.3 Temperature extremes,,Extreme heat,32.05,C,No extreme heat,20.25,C,,,1,77,0,sd,5,67.4,7.162401832,sd,Emily Wenban-Smith,,
Haner_2022,Y,Haner_2022_5,"HÃ¤ner, Nina and Amiresmaeili, Nasim and StÃ¤hli, Nadine and Romeis, JÃ¶rg and Collatz, Jana",2022,Overwintering of two pupal parasitoids of Drosophila under natural conditions,Journal of Thermal Biology,10.1016/j.jtherbio.2022.103235,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128807329&doi=10.1016%2fj.jtherbio.2022.103231&partnerID=40&md5=ec0713b33a2840cfc33bb5ce691a7677,English,Scopus,47,9,Switzerland,species,Pachycrepoideus vindemmiae,Hymenoptera,Pteromalidae,Pachycrepoideus,Pachycrepoideus vindemmiae,adult female ,,,,,,Survival,percentage,11 Climate change & severe weather,11.3 Temperature extremes,,Extreme cold,0,C,No extreme cold,22,C,,,120,34,19.5,sd,30,100,0,sd,Emily Wenban-Smith,,
Haner_2022,Y,Haner_2022_4,"HÃ¤ner, Nina and Amiresmaeili, Nasim and StÃ¤hli, Nadine and Romeis, JÃ¶rg and Collatz, Jana",2022,Overwintering of two pupal parasitoids of Drosophila under natural conditions,Journal of Thermal Biology,10.1016/j.jtherbio.2022.103234,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128807329&doi=10.1016%2fj.jtherbio.2022.103231&partnerID=40&md5=ec0713b33a2840cfc33bb5ce691a7676,English,Scopus,47,9,Switzerland,species,Pachycrepoideus vindemmiae,Hymenoptera,Pteromalidae,Pachycrepoideus,Pachycrepoideus vindemmiae,adult female ,,,,,,Survival,percentage,11 Climate change & severe weather,11.3 Temperature extremes,,Extreme cold,0,C,No extreme cold,22,C,,,120,71.3,16.5,sd,30,100,0,sd,Emily Wenban-Smith,,
