Paper_ID,Included,Observation_ID ,Author,Year,Title,Journal,DOI,URL,Language,Latitude,Longitude,Country,Taxa_level,Taxa_name,Order,Family,Genus ,Binomial,Life_history_stage,Experimental_year_start,Experimental_year_end,Sampling_method,Sampling_intensity_unit,Sampling_intensity,Biodiversity_metric,Unit,IUCN_threat_category_1,IUCN_threat_category_2,IUCN_threat_category_3,Treatment,Treatment_quantity,Treatment_quantity_unit,Control,Control_quantity,Control_quantity_unit,Extracted_from,Evidence_type,Treatment_N,Treatment_mean,Treatment_error,Treatment_error_type,Control_N,Control_mean,Control_error,Control_error_type,Contributor_name,Search_date,Notes
Liu_2022,Y,Liu_2022_1,"Liu, Yuwei and Tian, Yilin and Gao, Yingzhi and Cui, Dong and Zhang, Wei and Jiao, Ziwei and Yao, Fulong and Zhang, Zhenxing and Yang, Haijun",2022,The Impacts of Different Anthropogenic Disturbances on Macroinvertebrate Community Structure and Functional Traits of Glacierâ€Fed Streams in the Tianshan Mountains,Water (Switzerland),10.3390/w14081298,https://www.mdpi.com/2073-4441/14/8/1298,English,43.4,84.283333,China,Subclass,EPT,,,,,,2021,2021,"Surber sampler, 30x30 cm, 500um mesh",,,Richness,Average (no. taxa),2 Agriculture and Aquaculture,2.3 Livestock Farming and Ranching,,Livestock grazing; stream access,1,Presence,No livestock grazing and stream access,0,Absence,Figure 2,Quasi-experimental,10,6.01511335,1.673594553,Standard deviation,10,6.374055416,0.56359322,Standard deviation,Lindsey,01-Dec-23,"Treatment and control averages gained by manually averaging mean and standard deviation from reported means of ""control"" and ""treatment"" stream sampling sites. Control is 2 sites in grazing catchment stream NOT disturbed by grazing (S1-A, S1-B) and treatment are two sites downstream of control that were in grazed areas (S1-C, S1-D). S1-E was excluded because next to a village. N =10 (2 sites, 5 samples each). Livestock type at each site is not explicitly mentioned, but possibly includes sheep, cattle, and/or horses. WebPlotDigitizer used to extract values from figure. "
Conroy_2016,Y,Conroy_2016_1,"Conroy E., Turner J.N., Rymszewicz A., O'Sullivan J.J., Bruen M., Lawler D., Lally H., Kelly-Quinn M.",2016,The impact of cattle access on ecological water quality in streams: Examples from agricultural catchments within Ireland,Science of the Total Environment,10.1016/j.scitotenv.2015.12.120,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953220341&doi=10.1016%2fj.scitotenv.2015.12.120&partnerID=40&md5=79b5b819b79ca681e459d19ccc71500e,English,53.181528,-7.423472,Ireland,Order,Ephemeroptera,Ephemeroptera,,,,,2013,2013,"Surber sampler, 1mm mesh",,,Abundance,Average,2 Agriculture and Aquaculture,2.3 Livestock Farming and Ranching,,Livestock grazing; stream access,1,Presence,No livestock grazing and stream access,0,Absence,Figure 3,Quasi-experimental,12,17.65043,5.507508,Standard error,12,27.85101,7.164345,Standard error,Lindsey,01-Dec-23,"Assuming replicate Surber samples at each sampling location were not pooled into one composite sample. Study is designed where control is upstream of cattle access point and downstream of cattle access point is treatment. Sampled in spring and fall, which were averaged together for each site. Data only provided for significant sites, 4 out of 8 streams total."
Conroy_2016,Y,Conroy_2016_2,"Conroy E., Turner J.N., Rymszewicz A., O'Sullivan J.J., Bruen M., Lawler D., Lally H., Kelly-Quinn M.",2016,The impact of cattle access on ecological water quality in streams: Examples from agricultural catchments within Ireland,Science of the Total Environment,10.1016/j.scitotenv.2015.12.120,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953220341&doi=10.1016%2fj.scitotenv.2015.12.120&partnerID=40&md5=79b5b819b79ca681e459d19ccc71500e,English,53.5306945,-6.7068055,Ireland,Order,Ephemeroptera,Ephemeroptera,,,,,2013,2013,"Surber sampler, 1mm mesh",,,Abundance,Average,2 Agriculture and Aquaculture,2.3 Livestock Farming and Ranching,,Livestock grazing; stream access,1,Presence,No livestock grazing and stream access,0,Absence,Figure 3,Quasi-experimental,12,5.845275,2.143938,Standard error,12,9.74212,2.74807,Standard error,Lindsey,01-Dec-23,"Assuming replicate Surber samples at each sampling location were not pooled into one composite sample. Study is designed where control is upstream of cattle access point and downstream of cattle access point is treatment. Sampled in spring and fall, which were averaged together for each site. Data only provided for significant sites, 4 out of 8 streams total."
Conroy_2016,Y,Conroy_2016_3,"Conroy E., Turner J.N., Rymszewicz A., O'Sullivan J.J., Bruen M., Lawler D., Lally H., Kelly-Quinn M.",2016,The impact of cattle access on ecological water quality in streams: Examples from agricultural catchments within Ireland,Science of the Total Environment,10.1016/j.scitotenv.2015.12.120,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953220341&doi=10.1016%2fj.scitotenv.2015.12.120&partnerID=40&md5=79b5b819b79ca681e459d19ccc71500e,English,53.269167,-7.5651385,Ireland,Order,Ephemeroptera,Ephemeroptera,,,,,2013,2013,"Surber sampler, 1mm mesh",,,Abundance,Average,2 Agriculture and Aquaculture,2.3 Livestock Farming and Ranching,,Livestock grazing; stream access,1,Presence,No livestock grazing and stream access,0,Absence,Figure 3,Quasi-experimental,12,3.094555,1.329892,Standard error,12,3.89685,1.851309,Standard error,Lindsey,01-Dec-23,"Assuming replicate Surber samples at each sampling location were not pooled into one composite sample. Study is designed where control is upstream of cattle access point and downstream of cattle access point is treatment. Sampled in spring and fall, which were averaged together for each site. Data only provided for significant sites, 4 out of 8 streams total."
Conroy_2016,Y,Conroy_2016_4,"Conroy E., Turner J.N., Rymszewicz A., O'Sullivan J.J., Bruen M., Lawler D., Lally H., Kelly-Quinn M.",2016,The impact of cattle access on ecological water quality in streams: Examples from agricultural catchments within Ireland,Science of the Total Environment,10.1016/j.scitotenv.2015.12.120,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953220341&doi=10.1016%2fj.scitotenv.2015.12.120&partnerID=40&md5=79b5b819b79ca681e459d19ccc71500e,English,53.834028,-6.643056,Ireland,Order,Ephemeroptera,Ephemeroptera,,,,,2013,2013,"Surber sampler, 1mm mesh",,,Abundance,Average,2 Agriculture and Aquaculture,2.3 Livestock Farming and Ranching,,Livestock grazing; stream access,1,Presence,No livestock grazing and stream access,0,Absence,Figure 3,Quasi-experimental,12,33.09774,10.58621,Standard error,12,12.80803,4.005247,Standard error,Lindsey,01-Dec-23,"Assuming replicate Surber samples at each sampling location were not pooled into one composite sample. Study is designed where control is upstream of cattle access point and downstream of cattle access point is treatment. Sampled in spring and fall, which were averaged together for each site. Data only provided for significant sites, 4 out of 8 streams total."
Harner_2012,Y,Harner_2012_1,"Harner, Mary J. and Geluso, Keith",2012,Effects of cattle grazing on Platte River caddisflies (Ironoquia plattensis) in central Nebraska,Freshwater Science,10.1899/11-147.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884370430&doi=10.1899%2f11-147.1&partnerID=40&md5=1c580f384e7db63e357c912316a3929f,English,40.794333,-98.445367,United States,Species,Ironoquia plattensis,Trichoptera,Limnephilidae,Ironoquia,Ironoquia plattensis,Larva,2010,2011,"D-loop dip net, 30 cm",,,Abundance,Average (ind/m^2),2 Agriculture and Aquaculture,2.3 Livestock Farming and Ranching,,Livestock grazing; stream access,1.765,Stocking density (AUE/hectare),No livestock grazing and stream access,0,Stocking density (AUE/hectare),Table 1,Experimental,2,169,95.0842,Standard deviation,2,568,161.2653,Standard deviation,Lindsey,01-Dec-23,"Averages obtained from grazed versus ungrazed treatment plots. Manually averaged mean and standard deviation from extracted data collected one year after cattle were introduced to treatment plots (April 2011).  Recorded sample size is based on the number of averaged averages. Each original average has n = 4. Samples were not collected during mid-season, so first stocking rate was recorded. Livestock type was adult cattle, and were estimated to be an average of 1000 lb per animal (equvalent to 1 Animal Unit Equivalent (AUE)) thus a straight coversion to AUE/hectare was used. "
Meza-Salazar_2020,Y,Meza-Salazar_2020_1,"Meza-Salazar, Ana M. and Guevara, Giovany and Gomes-Dias, Lucimar and Cultid-Medina, Carlos A.",2020,"Density and diversity of macroinvertebrates in Colombian Andean streams impacted by mining, agriculture and cattle production",PeerJ,10.7717/peerj.9619,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092419405&doi=10.7717%2fpeerj.9619&partnerID=40&md5=53a4b0058b45559d147f30482e9d6630,English,5.064292,-75.40475,Columbia,Genus,Andesiops,Ephemeroptera,Baetidae,Andesiops,,,2014,2015,"Surber net, 30x30 cm, 250um mesh",,,Abundance,Average (no. per sample),2 Agriculture and Aquaculture,2.3 Livestock Farming and Ranching,,Livestock grazing; no/unk stream access,1,Presence,No livestock grazing and stream access,0,Absence,Supplementary Table 3,Quasi-experimental,6,44.33333333,35.03284173,Standard deviation,6,51.16666667,21.96588264,Standard deviation,Lindsey,01-Dec-23,"Coordinates are estimated midpoint between stream sampling sites. Livestock (cattle) grazing reported surrounding all sides of stream for treatment, but cattle had NO direct access to stream due to 3m buffer on all sides. Control site is Ref1 stream only, as other reference stream had more anthropogenic/agriculture impacts. Riparian area in Ref1 is more dominated by trees and shrubs, while treatment stream riparian area has early successional vegetation, suggesting it was previously cleared to create pasture. Averages and standard deviation calculated manually and reported. True sample size is 54 per site -- sampled 3 times in 3 different substrates per 6 sampling dates. Only obtained sum of the 9 substrate-based sampling efforts, so recorded sample size is 6 for average and standard dev. calculation. "
Meza-Salazar_2020,Y,Meza-Salazar_2020_2,"Meza-Salazar, Ana M. and Guevara, Giovany and Gomes-Dias, Lucimar and Cultid-Medina, Carlos A.",2020,"Density and diversity of macroinvertebrates in Colombian Andean streams impacted by mining, agriculture and cattle production",PeerJ,10.7717/peerj.9619,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092419405&doi=10.7717%2fpeerj.9619&partnerID=40&md5=53a4b0058b45559d147f30482e9d6630,English,5.064292,-75.40475,Columbia,Genus,Baetodes,Ephemeroptera,Baetidae,Baetodes,,,2014,2015,"Surber net, 30x30 cm, 250um mesh",,,Abundance,Average (no. per sample),2 Agriculture and Aquaculture,2.3 Livestock Farming and Ranching,,Livestock grazing; no/unk stream access,1,Presence,No livestock grazing and stream access,0,Absence,Supplementary Table 3,Quasi-experimental,6,42.16666667,39.37003937,Standard deviation,6,100,63.59481111,Standard deviation,Lindsey,01-Dec-23,"Coordinates are estimated midpoint between stream sampling sites. Livestock (cattle) grazing reported surrounding all sides of stream for treatment, but cattle had NO direct access to stream due to 3m buffer on all sides. Control site is Ref1 stream only, as other reference stream had more anthropogenic/agriculture impacts. Riparian area in Ref1 is more dominated by trees and shrubs, while treatment stream riparian area has early successional vegetation, suggesting it was previously cleared to create pasture. Averages and standard deviation calculated manually and reported. True sample size is 54 per site -- sampled 3 times in 3 different substrates per 6 sampling dates. Only obtained sum of the 9 substrate-based sampling efforts, so recorded sample size is 6 for average and standard dev. calculation. "
Meza-Salazar_2020,Y,Meza-Salazar_2020_3,"Meza-Salazar, Ana M. and Guevara, Giovany and Gomes-Dias, Lucimar and Cultid-Medina, Carlos A.",2020,"Density and diversity of macroinvertebrates in Colombian Andean streams impacted by mining, agriculture and cattle production",PeerJ,10.7717/peerj.9619,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092419405&doi=10.7717%2fpeerj.9619&partnerID=40&md5=53a4b0058b45559d147f30482e9d6630,English,5.064292,-75.40475,Columbia,Genus,Camelobaetidius,Ephemeroptera,Baetidae,Camelobaetidius,,,2014,2015,"Surber net, 30x30 cm, 250um mesh",,,Abundance,Average (no. per sample),2 Agriculture and Aquaculture,2.3 Livestock Farming and Ranching,,Livestock grazing; no/unk stream access,1,Presence,No livestock grazing and stream access,0,Absence,Supplementary Table 3,Quasi-experimental,6,11.83333333,31.75216528,Standard deviation,6,0,0,Standard deviation,Lindsey,01-Dec-23,"Coordinates are estimated midpoint between stream sampling sites. Livestock (cattle) grazing reported surrounding all sides of stream for treatment, but cattle had NO direct access to stream due to 3m buffer on all sides. Control site is Ref1 stream only, as other reference stream had more anthropogenic/agriculture impacts. Riparian area in Ref1 is more dominated by trees and shrubs, while treatment stream riparian area has early successional vegetation, suggesting it was previously cleared to create pasture. Averages and standard deviation calculated manually and reported. True sample size is 54 per site -- sampled 3 times in 3 different substrates per 6 sampling dates. Only obtained sum of the 9 substrate-based sampling efforts, so recorded sample size is 6 for average and standard dev. calculation. "
Meza-Salazar_2020,Y,Meza-Salazar_2020_4,"Meza-Salazar, Ana M. and Guevara, Giovany and Gomes-Dias, Lucimar and Cultid-Medina, Carlos A.",2020,"Density and diversity of macroinvertebrates in Colombian Andean streams impacted by mining, agriculture and cattle production",PeerJ,10.7717/peerj.9619,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092419405&doi=10.7717%2fpeerj.9619&partnerID=40&md5=53a4b0058b45559d147f30482e9d6630,English,5.064292,-75.40475,Columbia,Genus,Mayobaetis,Ephemeroptera,Baetidae,Mayobaetis,,,2014,2015,"Surber net, 30x30 cm, 250um mesh",,,Abundance,Average (no. per sample),2 Agriculture and Aquaculture,2.3 Livestock Farming and Ranching,,Livestock grazing; no/unk stream access,1,Presence,No livestock grazing and stream access,0,Absence,Supplementary Table 3,Quasi-experimental,6,1.166666667,2.607680962,Standard deviation,6,4,3.361547263,Standard deviation,Lindsey,01-Dec-23,"Coordinates are estimated midpoint between stream sampling sites. Livestock (cattle) grazing reported surrounding all sides of stream for treatment, but cattle had NO direct access to stream due to 3m buffer on all sides. Control site is Ref1 stream only, as other reference stream had more anthropogenic/agriculture impacts. Riparian area in Ref1 is more dominated by trees and shrubs, while treatment stream riparian area has early successional vegetation, suggesting it was previously cleared to create pasture. Averages and standard deviation calculated manually and reported. True sample size is 54 per site -- sampled 3 times in 3 different substrates per 6 sampling dates. Only obtained sum of the 9 substrate-based sampling efforts, so recorded sample size is 6 for average and standard dev. calculation. "
