Paper_ID,Observation_ID ,Author,Year,Title,Journal,DOI,URL,Language,Database,Latitude,Longitude,Country,Taxa_level,Order,Family,Genus ,Binomial,Life_history_stage,Experimental_year_start,Experimental_year_end,Biodiversity_metric,Unit,IUCN_threat_category_1,IUCN_threat_category_2,IUCN_threat_category_3,Treatment,Treatment_quantity,Treatment_quantity_unit,Control,Control_quantity,Control_quantity_unit,Extracted_from,Evidence_type,Effect_size,Effect_size_type,Sample_variance,Sample_variance_type,Aggregated,Contributor_name,Search_date,Notes
Davidson_et_al_2004,,,2004,,,,,,,-2.9833,-47.51667,Brazil,,Blattodea,NA,NA,,,2000,2000,Abundance,individuals/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NH2CONH2,5.051941872,kg/ha/yr,No N addition,0,kg/ha/yr,Table 9,,0.83440809,LogRR,0.711518908,,,Joe,,pH was measured at 2.5 cm depth
Li_et_al_2019,,,2019,,,,,,,29.7,103.233333,China,,Blattodea,NA,NA,,,2007,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NH4NO3,21.21485329,kg/ha/yr,No N addition,0,kg/ha/yr,Table 3,,-0.6870354,LogRR,0.054546819,,,Joe,,
Li_et_al_2019,,,2019,,,,,,,29.7,103.233333,China,,Blattodea,NA,NA,,,2007,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NH4NO3,21.21485329,kg/ha/yr,No N addition,0,kg/ha/yr,Table 3,,-0.6870354,LogRR,0.054546819,,,Joe,,
Li_et_al_2019,,,2019,,,,,,,29.7,103.233333,China,,Blattodea,NA,NA,,,2007,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NH4NO3,21.21485329,kg/ha/yr,No N addition,0,kg/ha/yr,Table 3,,0.006111781,LogRR,0.054546819,,,Joe,,
Li_et_al_2019,,,2019,,,,,,,29.7,103.233333,China,,Blattodea,NA,NA,,,2007,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NH4NO3,21.21485329,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,3.877312792,LogRR,0.054546819,,,Joe,,
Li_et_al_2019,,,2019,,,,,,,29.7,103.233333,China,,Blattodea,NA,NA,,,2007,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NH4NO3,21.21485329,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,3.877312792,LogRR,0.054546819,,,Joe,,
Lind_et_al_2017,,,2017,,,,,,,39.01641139,-123.0883047,USA,,Coleoptera,NA,NA,,,2007,2010,Abundance,Individuals/m2,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,(NH2)2CO,3.201138496,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Each sampling site, year, and years of treatment is a study and sample size is the number of plots.",,1.194902315,LogRR,0.105302696,,,Joe,,
Meza-Lopez_et_al_2018,,,2018,,,,,,,37.833875,-122.544592,USA,,Coleoptera,NA,NA,,,2012,2012,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NO3,5.021618366,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Calculated abundances per site, order and feeding guild",,-0.144601496,LogRR,0.183697518,,,Joe,,
Lind_et_al_2017,,,2017,,,,,,,38.90741104,-122.4067413,USA,,Coleoptera,NA,NA,,,2007,2009,Abundance,Individuals/m2,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,(NH2)2CO,3.201138496,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Each sampling site, year, and years of treatment is a study and sample size is the number of plots.",,-1.739706572,LogRR,0.528107454,,,Joe,,
Lind_et_al_2017,,,2017,,,,,,,44.18235817,-122.2756887,USA,,Coleoptera,NA,NA,,,2007,2009,Abundance,Individuals/m2,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,(NH2)2CO,2.447030544,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Each sampling site, year, and years of treatment is a study and sample size is the number of plots.",,-0.674811838,LogRR,0.168204017,,,Joe,,
