Paper_ID,Observation_ID,Author,Year,Title,Journal,DOI,URL,Language,Database,Latitude,Longitude,Country,Taxa_level,Order,Family,Genus,Binomial,Life_history_stage,Experimental_year_start,Experimental_year_end,Biodiversity_metric,Unit,IUCN_threat_category_1,IUCN_threat_category_2,IUCN_threat_category_3,Treatment,Treatment_quantity_unit,Control,Control_quantity,Control_quantity_unit,Evidence_type,Effect_size_type,Sample_variance_type,Aggregated,Contributor_name,Search_date,Notes,Effect_size,Sample_variance,Extracted_from,Treatment_quantity
Altfeld_2009,Altfeld_2009_1,Altfeld & Stiling ,2009,NA,NA,NA,NA,NA,NA,27.632975,-82.718878,USA,NA,Coleoptera,Chrysomelidae,NA,NA,NA,NA,NA,Abundance,ind/sample,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,N,g/plot,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,0.351363794,0.04000966,Figure 1,40
Altfeld_2009,Altfeld_2009_2,Altfeld & Stiling ,2009,NA,NA,NA,NA,NA,NA,27.632975,-82.718878,USA,NA,Diptera,Cecidomyiidae,NA,NA,NA,NA,NA,Abundance,ind/sample,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,N,g/plot,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,-0.520786924,0.15032219,Figure 1,40
Altfeld_2009,Altfeld_2009_3,Altfeld & Stiling ,2009,NA,NA,NA,NA,NA,NA,27.632975,-82.718878,USA,NA,Hemiptera,Aphididae,NA,NA,NA,NA,NA,Abundance,ind/sample,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,N,g/plot,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,-0.184105216,0.066233456,Figure 1,40
Altfeld_2009,Altfeld_2009_4,Altfeld & Stiling ,2009,NA,NA,NA,NA,NA,NA,27.632975,-82.718878,USA,NA,Lepidoptera,Lasiocampidae,NA,NA,NA,NA,NA,Abundance,ind/sample,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,N,g/plot,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,0.062814807,0.010325958,Figure 1,40
Altfeld_2009,Altfeld_2009_5,Altfeld & Stiling ,2009,NA,NA,NA,NA,NA,NA,27.632975,-82.718878,USA,NA,Lepidoptera,Pterophoridae,NA,NA,NA,NA,NA,Abundance,ind/sample,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,N,g/plot,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,0,0.037190247,Figure 1,40
Altfeld_2009,Altfeld_2009_6,Altfeld & Stiling ,2009,NA,NA,NA,NA,NA,NA,27.632975,-82.718878,USA,NA,Hemiptera,Aphididae,NA,NA,NA,NA,NA,Abundance,ind/sample,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,N,g/plot,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,-0.01598618,0.110703264,Figure 2,40
Asmus_2018,Asmus_2018_1,Asmus et al. ,2018,NA,NA,NA,NA,NA,NA,68.633333,-149.716667,USA,NA,Coleoptera,NA,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NP,kg/ha,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,0.916290732,0.122525,Supplementary materials,150
Asmus_2018,Asmus_2018_2,Asmus et al. ,2018,NA,NA,NA,NA,NA,NA,68.633333,-149.716667,USA,NA,Diptera,NA,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NP,kg/ha,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,1.036620613,0.040498775,Supplementary materials,150
Asmus_2018,Asmus_2018_3,Asmus et al. ,2018,NA,NA,NA,NA,NA,NA,68.633333,-149.716667,USA,NA,Hemiptera,NA,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NP,kg/ha,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,-0.223143551,0.050211813,Supplementary materials,150
Asmus_2018,Asmus_2018_4,Asmus et al. ,2018,NA,NA,NA,NA,NA,NA,68.633333,-149.716667,USA,NA,Hymenoptera,NA,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NP,kg/ha,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,0.396415273,0.044236826,Supplementary materials,150
